Customer ID,RFM_Segment
8779-QRDMV,Lost
7495-OOKFY,At Risk
1658-BYGOY,At Risk
4598-XLKNJ,Loyal Customers
4846-WHAFZ,Loyal Customers
4412-YLTKF,At Risk
0390-DCFDQ,Lost
3445-HXXGF,Champions
2656-FMOKZ,At Risk
2070-FNEXE,Lost
0094-OIFMO,At Risk
9947-OTFQU,At Risk
9514-JDSKI,Lost
7273-TEFQD,Lost
3606-TWKGI,At Risk
4385-GZQXV,At Risk
3488-PGMQJ,Lost
7534-BFESC,At Risk
8098-LLAZX,Lost
0265-EDXBD,Loyal Customers
2840-XANRC,Loyal Customers
5020-ZSTTY,Loyal Customers
5804-LEPIM,Lost
0623-IIHUG,At Risk
9057-MSWCO,At Risk
4895-TMWIR,At Risk
0533-BNWKF,Loyal Customers
0334-GDDSO,Lost
5564-NEMQO,Lost
6235-VDHOM,Lost
5609-CEBID,At Risk
5956-VKDTT,At Risk
0257-ZESQC,Loyal Customers
2865-TCHJW,Lost
5192-EBGOV,Lost
3419-SNJJD,Champions
4554-YGZIH,Champions
5099-BAILX,Loyal Customers
4913-EHYUI,Loyal Customers
1626-ERCMM,Loyal Customers
5644-PDMZC,Lost
4160-AMJTL,Lost
0823-HSCDJ,Loyal Customers
0067-DKWBL,Lost
5244-IRFIH,Loyal Customers
2684-EIWEO,Loyal Customers
6683-VLCTZ,At Risk
0691-IFBQW,Loyal Customers
3643-AHCFP,At Risk
9231-ZJYAM,Lost
0727-BMPLR,Loyal Customers
0947-MUGVO,At Risk
0781-LKXBR,Lost
1907-UBQFC,At Risk
6513-EECDB,Lost
7074-IEVOJ,Lost
4750-ZRXIU,Lost
7028-DVOIQ,Loyal Customers
4208-UFFGW,Lost
9889-TMAHG,Lost
8919-FYFQZ,Loyal Customers
6646-QVXLR,Champions
9369-XFEHK,Loyal Customers
1374-DMZUI,Lost
1989-PRJHP,Loyal Customers
4822-RVYBB,Lost
4184-TJFAN,Lost
4145-UQXUQ,Lost
1236-WFCDV,At Risk
1271-SJBGZ,Lost
4441-NIHPT,At Risk
8999-BOHSE,At Risk
7029-RPUAV,At Risk
8111-SLLHI,Loyal Customers
5293-WXJAK,Loyal Customers
4086-YQSNZ,Lost
8399-YNDCH,At Risk
5565-FILXA,At Risk
4187-CINZD,Loyal Customers
6818-WOBHJ,Champions
9134-CEQMF,At Risk
8519-IMDHU,At Risk
3372-KWFBM,At Risk
7206-GZCDC,Lost
1768-ZAIFU,Lost
3793-MMFUH,At Risk
6567-HOOPW,Lost
8621-MNIHH,Loyal Customers
5419-CONWX,Lost
7024-OHCCK,Lost
5357-TZHPP,Lost
0506-LVNGN,Lost
9809-IMGCQ,At Risk
3254-YRILK,At Risk
0529-ONKER,At Risk
5240-IJOQT,Lost
0661-XEYAN,Lost
2660-EMUBI,At Risk
7675-OZCZG,Lost
9391-EOYLI,At Risk
2761-OCIAX,Lost
3068-OMWZA,Lost
4154-AQUGT,At Risk
8017-LXHFA,At Risk
4248-QPAVC,At Risk
4690-LLKUA,At Risk
9490-DFPMD,Loyal Customers
8580-AECUZ,Lost
5047-LHVLY,Lost
8375-DKEBR,Lost
7279-BUYWN,Loyal Customers
7156-MHUGY,At Risk
9606-PBKBQ,Loyal Customers
3536-IQCTX,Loyal Customers
3132-TVFDZ,Loyal Customers
8080-DDEMJ,Lost
6702-OHFWR,Lost
4510-PYUSH,Loyal Customers
8840-DQLGN,Loyal Customers
4193-ORFCL,Lost
7776-QWNFX,Loyal Customers
6689-TCZHQ,Lost
9497-QCMMS,Lost
3424-NMNBO,Champions
4514-GFCFI,At Risk
8000-REIQB,Lost
4795-KTRTH,Lost
9961-JBNMK,At Risk
6179-GJPSO,Loyal Customers
8290-YWKHZ,Loyal Customers
8051-HJRLT,Lost
4021-RQSNY,Loyal Customers
9061-TIHDA,At Risk
8699-ASUFO,Lost
4695-WJZUE,Lost
3988-RQIXO,Lost
5931-FLJJF,Lost
3207-OYBWH,Champions
7216-EWTRS,At Risk
2528-HFYZX,At Risk
4140-MUHUG,Lost
1587-FKLZB,Champions
5440-FLBQG,Champions
2774-LVQUS,At Risk
4612-THJBS,Loyal Customers
4094-NSEDU,At Risk
1846-XWOQN,Lost
3757-NJYBX,Loyal Customers
9898-KZQDZ,Loyal Customers
8263-JQAIK,Lost
2205-YMZZJ,Lost
1254-IZEYF,Loyal Customers
9221-OTIVJ,At Risk
5908-QMGOE,At Risk
0397-GZBBC,Loyal Customers
7641-EUYET,Champions
8922-LIEGH,At Risk
8245-UMPYT,At Risk
5186-SAMNZ,Lost
5373-SFODM,Loyal Customers
0022-TCJCI,Loyal Customers
5130-IEKQT,At Risk
3269-ATYWD,Loyal Customers
0354-WYROK,Loyal Customers
7576-OYWBN,Lost
5539-TMZLF,Lost
3336-JORSO,Loyal Customers
6861-XWTWQ,At Risk
4283-FUTGF,At Risk
2397-BRLOM,At Risk
8510-AWCXC,At Risk
8225-BTJAU,At Risk
1724-BQUHA,Lost
4826-XTSOH,Lost
2408-WITXK,Lost
2634-HCZGT,Loyal Customers
7503-QQRVF,At Risk
0709-TVGUR,Lost
3001-CBHLQ,Loyal Customers
4102-OQUPX,Lost
3999-QGRJH,Lost
2454-RPBRZ,At Risk
2265-CYWIV,Lost
4550-VBOFE,Champions
7409-KIUTL,Lost
1732-VHUBQ,Loyal Customers
0679-IDSTG,Lost
8802-UNOJF,At Risk
6313-GIDIT,Loyal Customers
2845-AFFTX,Loyal Customers
2815-CPTUL,Lost
1891-FZYSA,Champions
9685-WKZGT,At Risk
6022-UGGSO,Loyal Customers
3923-CSIHK,Loyal Customers
3677-IYRBF,Lost
8118-LSUEL,At Risk
5277-ZLOOR,Lost
4248-HCETZ,Loyal Customers
9174-FKWZE,Lost
5307-DZCVC,Loyal Customers
8679-JOEVF,At Risk
4803-AXVYP,Loyal Customers
5649-ANRML,Lost
7395-IGJOS,At Risk
7890-VYYWG,Lost
9907-SWKKF,Lost
6397-JNZZG,Loyal Customers
7779-LGOVN,At Risk
9710-ZUSHQ,Loyal Customers
3902-FOIGH,At Risk
3318-OSATS,Loyal Customers
2636-ALXXZ,Lost
9885-CSMWE,Lost
8058-JMEQO,Lost
7657-DYEPJ,Loyal Customers
8276-MQBYC,Loyal Customers
6015-VVHHE,Lost
2516-VQRRV,Lost
7580-UGXNC,Lost
5178-LMXOP,Lost
7056-IMHCC,Loyal Customers
8749-JMNKX,Loyal Customers
0917-EZOLA,Loyal Customers
8414-MYSHR,Lost
4988-IQIGL,Lost
4706-AXVKM,At Risk
5889-JTMUL,Loyal Customers
9026-RNUJS,Lost
1624-NALOJ,Lost
6210-KBBPI,Lost
2260-USTRB,Lost
8623-TMRBY,Loyal Customers
6900-PXRMS,At Risk
3346-BRMIS,At Risk
2722-JMONI,Lost
7579-OOPEC,Lost
1771-OADNZ,Loyal Customers
0612-RTZZA,Lost
4433-JCGCG,Loyal Customers
9488-HGMJH,Lost
4818-QIUFN,At Risk
